,CON,NJY,NYC,ALB,ALK,ALA,ARK,AUS,ARI,BWI,BCC,CAL,LAX,SAN,SFO,COL,WDC,DEL,FLA,GEO,HWI,IOW,IDA,ILL,IND,KAN,KTY,LOU,MAS,MAN,MAR,MNE,MCH,MIN,MOU,MIS,MON,MEX,NBK,NCA,NDK,NEB,NHA,NJS,NFL,NMX,NVA,NWT,NVT,NEV,NYK,NZL,OHI,OKL,ONT,ORE,PEN,PEI,QUE,RDI,SCA,SDA,SKA,TEN,ASA,DFW,HOU,TEX,CHI,ENG,IOM,IRL,NIR,SCT,WAL,UTA,VIR,VMT,WAS,WSC,WVA,WYO,YKT
Amber Alert,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
Armed Robbery,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
Bomb Threat,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
Break-In/Burglary,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
Missing Person,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
Officer Assist,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
Officer Down,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
Perp Search/Chase,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
SWAT/ERT,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
Shooting/Stabbing,",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,",",jbibi1296@gmail.com,"
