City Code,"City, State",Type of Alert,Other Codes,Address,Alert Description,Random Code,Date,Time of day
NYC," Queens, New York", 1 Alarm Fire (10-75), 482.01325, 90-15 170th St, Box 4810: BC-50 o/s rptg a working fire on flr #2 of an occupied multiple dwelling, NYC249,2019-04-23, 12:32
FLA," Lauderhill, Florida", Perp Search/Chase, BSO 6D Tac 1, NW 52 Ave & NW 23 St," LPD & BSO advising two males bailed out of a stolen vehicle, K9 responding, active foot chase.", FLA005,2019-04-23, 12:32
FLA," Tamarac, Florida", Technical Rescue, BSO Disp 8, FL Turnpike & Commercial Blvd," BSO arrival, adult male threatening to jump from the overpass.", FLA005,2019-04-23, 12:30
NYC," Manhattan, New York", 1 Alarm Fire All Hands, 482.10625, 111 Broadway," Box 0054: BC-1 rpts AHW fire on scaffolding outside flr #7, 22-stry 60x275 office bldg.", NYC249,2019-04-23, 12:29
NYC," Manhattan, New York", 1 Alarm Fire (10-75), 482.10625, 115 Broadway, Box 0054: L-10 o/s rptg a working fire on scaffolding on the 7th floor of a commercial bldg., NYC249,2019-04-23, 12:13
OHI," Cincinnati, Ohio", 1 Alarm Fire,, 151 E St Ledger Pl, CFD o/s knocking the box for a working fire in a 2 sty single family. Addtl units responding., OHI015,2019-04-23, 12:09
FLA," Opa Locka, Florida", Hazmat, Tac 1, Nw 135th St & Cairo Ln," BC4 I/C active gas leak, hazmat o/s, leak is under control.", FLA125,2019-04-23, 12:05
PEN," West Pennsboro Twp, Pennsylvania", 1 Alarm Fire,, 14 Woodcrest Dr, FD reports heavy fire showing from a residence, PEN105,2019-04-23, 12:05
MAS," Fitchburg, Massachusetts", Shooting/Stabbing,, 9 Chester St, PD reports victim shot - unk extent of injs - EMS assessing, MAS227,2019-04-23, 12:02
OHI," Cleveland, Ohio", Bomb Threat,, W 150th St & Puritas Ave, PD reports male made bomb threat - perp now in custody - area evacuated, OHI032,2019-04-23, 11:45
ILL," Crystal Lake, Illinois", Search & Rescue,, 431 Walkup Ave, CLFD req a MABAS box alarm for water recovery at Veterans Acres Park to search for missing 5 yo boy M/A:McHenry County, ILL062,2019-04-23, 10:38
NCA," Conover, North Carolina", 1 Alarm Fire,, 1004 Keisler Rd NW, FD reports heavy smoke showing from a 3 story industrial complex - now under control, NCA023,2019-04-23, 11:34
WSC," Middleton, Wisconsin", Missing Person,, 7677 Payvery Trail, 2 yr old female missing for 15 mins. Sheriff Dept requesting Fire for drone, WSC052,2019-04-23, 10:30
LAX," Los Angeles, California", 1 Alarm Fire, Ch 9 TAC 12, 3663 W 59th St," LAFD o/s fire in one roof of a 2 story single family residence, fire knocked down.", LAX032,2019-04-23, 08:24
MAR," Silver Spring, Maryland", Technical Rescue,, 11171 Georgia Avenue," U/D: Patient extricated from under train, serious but non-life-threatening injuries, EMS transporting", MAR137,2019-04-23, 11:23
NYC," Queens, New York", 1 Alarm Fire All Hands, 482.01325, 153-04 119th Ave," Box 8663: BC-50 rpts AHW fire in a 2-stry 20x40 private dwelling, fire is now U/C.", NYC249,2019-04-23, 11:18
ARI," Phoenix, Arizona", 1 Alarm Fire, A5, 1300 E Culver St, Units onscene of a house with a W/F. 3-1 W/F assignment enroute., ARI666,2019-04-23, 09:18
OHI," Cincinnati, Ohio", Shooting/Stabbing,, 5473 Kirby Ave, CPD o/s person stabbed-suspect is in custody. FD & EMS responding., OHI015,2019-04-23, 11:11
MNE," Lewiston, Maine", Major Accident,, Sabattus St & Russell St, FD reports MVA w/ rollover & entrapment - 1 pinned - extrication now complete, MNE037,2019-04-23, 11:02
FLA," Oakland Park, Florida", Shooting/Stabbing, BSOFR Disp 1, Oakland Park Blvd & Andrews Ave," Station 9 arrival, victim shot, adult trauma alert. Suspect fled.", FLA005,2019-04-23, 10:48
FLA," Miramar, Florida", Major Accident, BSOFR Tac 1, Pembroke Rd & Hiatus Rd," BC19 in command, accident with major damage & rollover, two precautionary trauma alerts.", FLA005,2019-04-23, 10:47
OHI," Cleveland, Ohio", Armed Robbery,, 3606 Steelyard Dr, PD investigating armed robbery @ AT&T store - 4 males w/ masks, OHI032,2019-04-23, 10:44
OKL," Oklahoma City, Oklahoma", Technical Rescue,, 1600 Linwood Blvd," OKCFD o/s of a person trapped in a storm drain, now removed to EMS.", OKL004,2019-04-23, 09:43
MAR," Silver Spring, Maryland", Technical Rescue,, 11171 Georgia Avenue, Upgraded category: MCFR/MTPD o/s person pinned under Metro train @ Wheaton station, MAR137,2019-04-23, 10:39
MAS," Methuen, Massachusetts", Hazmat,, 45 Pleasant View St, FD reports gas main break - sheltering in place @ Timony Grammar School, MAS227,2019-04-23, 10:39
FLA," Fleming Island, Florida", Major Accident, 859.4375-TG:301, US-17 & Hibernia Rd," E22 o/s 2 Vehicle Crash, Now Reporting Extrication Tools to be Used for Patient Access", FLA077,2019-04-23, 10:35
MAR," Silver Spring, Maryland", Trauma Alert,, 11171 Georgia Avenue," MCFR/MTPD o/s person struck by Metro train @ Wheaton station, poss suicide attempt per video review", MAR137,2019-04-23, 10:34
MAS," Boston, Massachusetts", 1 Alarm Fire, 483.1875, 5 Vera St," Box3488 Car8 rpts fire showing from 2nd flr of 4 occupied wdfrm 70X100, 1lso, acw", MAS235,2019-04-23, 10:32
WSC," West Bend, Wisconsin", Hazmat,, 1306 Chestnut St," E1 & Batt1 o/s w/ a unknown white powder, eating the concrete, Full HAZMAT protocol", WSC021,2019-04-23, 09:32
ONT," Hamilton, Ontario - Canada", Suspicious Device,, 1187 Barton St E, HPS investigating a suspicious package at Meridian Credit Union. Area closed., CAN000,2019-04-23, 10:32
MAS," Quincy, Massachusetts", Working Fire,, 207 Burgin Pkwy," Qfd On Scene Of A Bldg Fire, Req W/f With M/a Coverage. Acw M/A:Boston", MAS832,2019-04-23, 10:15
OHI," Carlisle, Ohio", Trauma Alert,, Robert Pl & Roberts Ct, Delayed-FD & WCSO o/s juvenile female struck by a freight train-JEMS confirming subj dead on scene., OHI015,2019-04-23, 10:10
VIR," Clinchport, Virginia", Major Accident,, US-23 @ Clinch River bridge," Delayed, FD reports early morning MVA rollover w/ fatality", VIR010,2019-04-23, 10:03
LAX," Malibu, California", Major Accident,, Pacific Coast Hwy & Broad Beach Rd, FD reports MVA w/ entrapment - extrication in prog, LAX060,2019-04-23, 06:55
WDC," Washington, Washington DC", Hazmat,, 730 15th St NW," U/D: Addl evacs of all bldgs on even side of 15th St, shelter in place in odd side.", MAR137,2019-04-23, 09:48
WDC," Washington, Washington DC", Hazmat,, 730 15th St NW," U/D: Several hoselines laid, Penn Av NW closed 15th -17th St NW. Wash Gas will need to excavate", MAR137,2019-04-23, 09:47
FLA," Gonzalez, Florida", Major Accident,, Pine Forest Rd & W Roberts Rd," Delayed, FD reports veh vs school bus - trauma alert issued for car driver - minor injs to students", FLA110,2019-04-23, 09:46
PEN," Mount Holly Springs, Pennsylvania", 1 Alarm Fire,, 122 W Butler St, FD o/s working roof fire in a 1 sty paper mill plant-lines charged & operating., PEN117,2019-04-22, 18:12
KAN," Kansas City, Kansas", Shooting/Stabbing, Dispatch, 1828 N. 26th St, Pumper 11 o/s has 1 person down in the alley from a shooting., KAN016,2019-04-22, 17:07
OHI," Vandalia, Ohio", 1 Alarm Fire, OPS46, 1401 Stoney Springs Rd," VFD Battalion 3 o/s two story residential heavy smoke showing from the C side, working fire.", OHI080,2019-04-22, 18:05
LAX," Pomona, California", 1 Alarm Fire,, 1800 W Buffington St, BC15 o/s fully involved vehicle fire spreading to the single family dwelling-full 1 Alarm assignment, LAX061,2019-04-22, 14:58
ONT," Toronto, Ontario - Canada", Major Accident,, Glencairn Ave & Caledonia Rd, TPS & Medics o/s cyclist struck by a vehicle-rider unresponsive. EMS to Trauma Centre emergent., ONT013,2019-04-22, 17:57
ILL," Chicago, Illinois", Shooting/Stabbing,, 6802 S Justine St," CPD o/s male shot in the leg & back, stable condition. Evidence tech requested for shell casings.", WSC082,2019-04-22, 16:46
FLA," Islamorida, Florida", Trauma Alert,, Overseas Hwy MM 83, STA 25 units o/s investigating male found face down in the water, FLA074,2019-04-22, 17:45
NCA," Statesville, North Carolina", Search & Rescue,, 238 Airport Rd, SAR Teams search for a missing aircraft near the Iredell/Davie Line. Civil Air Patrol assisting., NCA030,2019-04-22, 17:43
NJS," Winslow Twp, New Jersey", Major Accident,, White Horse Pike & Spring Rd, FD reports MVA w/ entrapment - extrication in prog - helo inbound for transport, NJS001,2019-04-22, 10:12
NCA," Mooresville, North Carolina", Aircraft Down,, E Waterlynn Rd & Mecklenburg Hwy, FD reports hot air ballon low on fuel made emerg landing in Waterlynn Subdivision - no injs, NCA023,2019-04-22, 10:10
SFO," San Francisco, California", 1 Alarm Fire,, 1483 Sutter St," Delayed, SFFD reports early morning working fire in a multi family residence", SFO004,2019-04-22, 06:57
ARI," Phoenix, Arizona", Major Accident, K7, A101 & N Tatum Bl Eb Op," E45 onscene of a crash involving a MC, 1 pt, serious injury. R36 enroute JCL Deer Valley Trauma.", ARI666,2019-04-22, 07:53
NCA," Benson, North Carolina", Perp Search/Chase,, Hannah Crk Rd & Ivey Rd," SO in foot pursuit WM wearing jeans, coat, red hat; unk wants. 1 F in custody.", NCA016,2019-04-22, 09:48
LAX," San Juan Capistrano, California", Major Accident,, State Road 74 & Caspers Park Rd, CHP investigating MVA w/ fatality, CAL127,2019-04-22, 06:47
MIN," Mankato, Minnesota", 1 Alarm Fire,, 621 Park Lane, Delayed: Overnight Fire in an Occupied House. Fire Now U/C. No Injuries., MIN046,2019-04-22, 08:44
DFW," Burleson, Texas", Major Accident, PD 1, 2600 S Burleson Blvd, (delayed) PD o/s of a pickup vs 18 wheeler fiery crash with a fatality, DFW156,2019-04-17, 18:14
NHA," Deerfield, New Hampshire", 2 Alarm Fire,, 2 Brown Rd, 2nd Alm Now for Garage or Barn fully involved, NHA046,2019-04-17, 19:05
OHI," Cincinnati, Ohio", 1 Alarm Fire,, 2117 Highland Ave, CFD o/s working kitchen fire in a 1 sty single family dwelling-19s laying in from the hydrant., OHI015,2019-04-17, 19:03
NHA," Deerfield, New Hampshire", Working Fire,, 2 Brown Rd, Fire in garage of a House. Upgraded to Full 1st Alm., NHA046,2019-04-17, 19:03
MOU," Metro Kansas City Wx, Missouri", Thunder Storm Warning, Issued for jackson & Cass. Storm near louisburg moving NE at 40mph, WSC082, 17:59,2019-04-17,,
TEX," Texas Panhandle Wx, Texas", Thunder Storm Warning," For Armstrong, Carson, Gray & Donley. Storm NE of groom moving SE at 10mph w/ ping pong hail", WSC082, 17:54,2019-04-17,,
HWI," Kailua, Hawaii", Hazmat,, 434 Kuulei Rd., HPD/BC_3 o/s unk. chemical odor. Evacuations to surrounding businesses., HWI016,2019-04-17, 12:46
IOW," East Central IA Wx, Iowa", Thunder Storm Warning, Issued for Poweshiek & Tama. Storm 12mi E of toledo moving NE at 40mph w/ quarter size hail, WSC082, 17:45,2019-04-17,,
ILL," Chicago, Illinois", Hazmat,, 3009 W 63rd St," U/D: T41 advising vehicle struck a gas line, 2 patients. E88 has 1 line precautionary line.", WSC082,2019-04-17, 17:41
OKL," Northwest OK Wx, Oklahoma", Tornado Warning, Issued for Custer & Roger Mills.Storm near strong city moving northeast capable of a tornado, WSC082, 17:40,2019-04-17,,
NYK," Cheektowaga, New York", Airport Alert, 424.150, 4200 Genesee st, CFRs & Local FDs on stand by for plane with spoiler issues. 3 souls aboard. ALERT 2 issued. M/A:Depew M/A:Amherst, NYK083,2019-04-17, 18:39
OKL," Northwest OK Wx, Oklahoma", Thunder Storm Warning," Issued for Woods, Harper & Woodward. Storm 4mi NE of selman moving NE at 10mph w/ golf ball hail", WSC082, 17:38,2019-04-17,,
ONT," Hamilton, Ontario - Canada", Shooting/Stabbing,, 647 Upper Wentworth St," Male 20s stabbed multiple times, transported to trauma ctr. One other patient with minor injuries.", CAN000,2019-04-17, 18:36
TEX," Texas Panhandle Wx, Texas", Tornado Warning, Issued for Carson Co. Storm 6mi South of Panhandle moving SW at 5mph, WSC082, 17:35,2019-04-17,,
ILL," Chicago, Illinois", Hazmat,, 3009 W 63rd St," Truck 41 o/s active gas leak, requesting a level 1 hazmat. unable to shut off gas", WSC082,2019-04-17, 17:32
FLA," Pine Hills, Florida", Major Accident,, 3344 Lake Tiny Cir, E43 reports motorcycle vs wall - critical patient to ORMC by ground, FLA057,2019-04-17, 18:31
ILL," Chicago, Illinois", Shooting/Stabbing, zone 8, 7945 S Parnell Ave," CPD o/s male shot in the alley, checking for crime scene in the park.", WSC082,2019-04-17, 17:30
NJY," Flemington, New Jersey", Major Accident,, 2 Stangl Rd, EMS o/s child struck by a vehicle w/ serious injury. Medevac launched to scene., NJY033,2019-04-17, 18:29
ILL," Naperville, Illinois", Major Accident, 154.265, Washington & Naper Rd, NFD has requested MABAS Box 2 for the accident. MABAS 16 units due M/A:Plainfield M/A:Bolingbrook, ILL226,2019-04-17, 17:29
FLA," Jacksonville, Florida", Major Accident, B-1 TG-1113, E 21st St & Phoenix Ave," U/D: R2 Reporting 1 Patient Deceased, 1 Stable Patient, Extrication in Progress for Fatality", FLA077,2019-04-17, 18:23
FLA," Jacksonville, Florida", Major Accident, B-1 TG-1113, E 21st St & Phoenix Ave," E11 o/s Auto Crash Confirming Entrapment, Requesting 2nd Rescue", FLA077,2019-04-17, 18:21
WAS," Edmonds, Washington", 1 Alarm Fire, SC Fire Tac 8, 21224 84th Ave W, FD o/s 10x10 shed fully involved extending to 1 story commercial building., WAS022,2019-04-17, 15:13
NEB," Omaha, Nebraska", Major Accident,, I-680 E/B @ 72nd St, Delayed-OPD & EMS o/s car t-boned by a school bus-driver of the car in traumatic arrest., NEB012,2019-04-17, 17:13
MNE," Lebanon, Maine", 2 Alarm Fire, Ops 8, 764 Upper Guinea Rd, 2.5 Story House with Heavy Fire 2nd Floor and Thru the Roof., MNE003,2019-04-17, 18:11
MAS," Boston, Massachusetts", 2 Alarm Fire, 483.1875, 4012 Washington St, Box 2619. B/O L16. Fire in rear of 2sty woodframe w/ report of occs trapped, MAS255,2019-04-17, 18:11
MAS," Boston, Massachusetts", 1 Alarm Fire, 483.1875, 4012 Washington St, Box 2619. L16 smoke showing from a building in the rear. 2 story wood, MAS255,2019-04-17, 18:09
NHA," Stratham, New Hampshire", Hazmat,, 20 Aberdeen Dr, FD o/s Leaking 500 pound below grade propane tank., NHA046,2019-04-17, 18:08
HWI," Kalihi, Hawaii", Perp Search/Chase,, King St. & Liliha St., HPD in search of auto-theft suspect. Perimeter established., HWI016,2019-04-17, 12:07
NYK," Pittsford, New York", Major Accident, 154.385, 3342 Clover St, 3C18 on scene with an MVA with a person trapped with minor injuries, NYK000,2019-04-17, 18:06
MNE," Lebanon, Maine", Working Fire, Ops 8, 764 Upper Guinea Rd, U/D: 2.5 Story House with Heavy Fire 2nd Floor and Thru the Roof., MNE003,2019-04-17, 18:05
KAN," Kansas City, Kansas", 1 Alarm Fire, Tac 1, Homer Ave & S. Valley, Pumper 9 o/s has a 1 car detach garage heavily involved., KAN016,2019-04-17, 17:05
MNE," Lebanon, Maine", Working Fire, Ops 8, 764 Upper Guinea Rd, House Fire with Multiple M/A Responding., MNE003,2019-04-17, 18:01
WDC," Washington, Washington DC", Shooting/Stabbing,, 5100 Southern Ave SE, DCPD o/s person shot-unk life status. EMS has the patient. Susp skinny BMA wearing a red vest, WDC013,2019-04-17, 17:58
KAN," Eastern Kansas wx, Kansas", Thunder Storm Warning, Issued for Franklin & Anderson. Storm near Harris moving NE at 50mph w/ 60mph winds., WSC082, 16:57,2019-04-17,,
MAR," Bryans Road, Maryland", 1 Alarm Fire,, 6765 Leslie Ave," FD o/s 1 story house, working fire in the basement.", MAR134,2019-04-17, 17:56
OKL," Northwest OK Wx, Oklahoma", Tornado Warning, Issued for NW Ellis Co. Storm near Shattuck moving NE 25mph capable of producing a tornado, WSC082, 16:54,2019-04-17,,
ALA," Mobile, Alabama", Shooting/Stabbing,, 1100 Doctor Martin Luther King Dr, MPD o/s juvenile male stabbed-unk severity. Female suspect fled on foot. EMS packaging., ALA102,2019-04-17, 16:52
FLA," Miami Lakes, Florida", Trauma Alert, Tac 1, 5975 Miami Lakes Dr," MDFR R-1 o/s 30 y/o male w/head injury at police station, trauma alert by Air Rescue", BCC022,2019-04-17, 17:51
NHA," New Boston, New Hampshire", Search & Rescue,, New Boston Rd, Female on Pulpit Rock Trail with Medical Problem. Police may have found the patient., NHA046,2019-04-17, 17:49
FLA," Jacksonville, Florida", Shooting/Stabbing, A-1 TG-1085, 5050 Sunbeam Rd, R51 Transporting Shooting Victim w/Unknown Injury Status, FLA077,2019-04-17, 17:48
KAN," Eastern Kansas wx, Kansas", Thunder Storm Warning,, NWS Topeka, Severe Thunderstorm Warning for Coffey County. Located 6 miles SW of Gridley, KAN028,2019-04-17, 16:38
NYK," Nyack, New York", Major Accident,, 5 Polhemus St, Units on scene of MVA with entrapment extrication in progress, NYK119,2019-04-17, 17:37
OHI," Dayton, Ohio", Shooting/Stabbing,, Salem Ave & First St," DFD E4, M2 o/s subject shot medics transporting, police investigating", OHI080,2019-04-17, 17:29
NHA," Alstead, New Hampshire", 1 Alarm Fire,, 156 Cook Hill Rd," U/D:Oic Rept Barn On Ground,returning Most M/a Companies. Pwh", MAS832,2019-04-17, 17:26
NJY," Ewing Twp, New Jersey", Hazmat, Nr1, 4 Graphics Drive, C33 o/s gas line struck to commercial bldg. bldg evacuated pse&g responding, NJY007,2019-04-17, 17:25
ILL," Bolingbrook, Illinois", Major Accident,, Weber Rd & Boughton Rd," U/D: BFD reporting MVA involing motorcycle, medical examiner requested M/A:Plainfield", ILL113,2019-04-17, 16:23
MAS," Needham, Massachusetts", Brush Fire,, Rte 128 & Great Plain Ave, U/D: Water Supply Probs. At Least One Rig Stuck in Mud. 2 More Engines & 2 More Brush Trucks. DWH. M/A:Boston M/A:Dedham, MAS024,2019-04-17, 17:22
OHI," Cleveland, Ohio", Perp Search/Chase,, E 30th St & Chester Ave, CPD perimeter set up for prisoner who fled from an ambulance-still wearing a hospital gown., OHI090,2019-04-17, 17:21
ONT," Milton, Ontario - Canada", Major Accident,, Hwy 401 EB E of Tremaine Rd, U/D: Patient pronounced dead on scene. OPP Reconstruction Unit investigating., CAN000,2019-04-17, 17:20
OHI," Dayton, Ohio", Violent Crime, DPD West 58015, 4132 Shenandoah Dr.," Home struck by mult. gunshots, susp vehicle is black Dodge Magnum, unk registration, no injuries", OHI144,2019-04-17, 17:19
PEN," Upper Merion Twp, Pennsylvania", Major Accident, FR 4, W Valley Forge Rd & Geerdes Blvd, E56 O/S 2 veh accident. 1 veh flipped with a subject trapped. 2nd ambulance requested, PEN012,2019-04-17, 17:18
ILL," Chicago, Illinois", Shooting/Stabbing, zone 6, 6801 S Hermitage Ave," CPD o/s male shot in the legs, possible suspects fled in a vehicle.", WSC082,2019-04-17, 16:11
MAS," Needham, Massachusetts", Brush Fire,, Rte 128 & Great Plain Ave, U/D: 4 Addl Brush Trucks From Metro Fire Enrt. DCR Resources and MSP also Working. M/A:Boston M/A:Dedham, MAS024,2019-04-17, 17:09
MNE," Hollis, Maine", Major Accident, 460.6, Hollis Rd & Darbick Terrace," Units o/s MVA w/ injuries, requesting life flight. [MNE039]", FLA027,2019-04-17, 17:08
TEX," Texas Panhandle Wx, Texas", Tornado Warning,, NWS Amarillo, Fire & Police confirmed large tornado on the ground near Glazier in Hemphill County moving NE, TEX014,2019-04-17, 16:06
NHA," Alstead, New Hampshire", 1 Alarm Fire,, 156 Cook Hill Rd, Units On Scene Of A Barn Fire Water Supply Being Established M/a To Scene & Cover, MAS832,2019-04-17, 17:04
SCA," Columbia, South Carolina", Hazmat,, Hard Scrabble Rd & Mann Rd, FD o/s cut natural gas line-gas is blowing out. Utilities responding. Roadway blocked., SCA007,2019-04-17, 17:03
CAL," Orosi, California", 1 Alarm Fire,, Ave 416 & Rd 128, FD o/s working fire in a 1 sty commercial structure. Lines charged & operating., CAL052,2019-04-17, 14:02
MAR," Dundalk, Maryland", Shooting/Stabbing,, 100 Fleming Ave, PD o/s female stabbed-non life threatening. EMS packaging for transport. Female suspect fled on foot, MAR110,2019-04-17, 17:00
VIR," Suffolk, Virginia", Trauma Alert,, 1200 Gene Bolton Dr, Delayed-FD & EMS o/s fatal military parachuting accident w/ 1 other subj injured. Active scene., VIR068,2019-04-17, 16:57
ILL," Chicago, Illinois", Armed Robbery,, 3535 N Central Ave, CPD rptg a male suspect robbed a Citibank branch. No description of suspect., ILL085,2019-04-17, 15:56
MAS," Needham, Massachusetts", Brush Fire,, Rte 128 & Great Plain Ave, Extensive Brush on the Town/City Lines. M/A Westwood. Boston Sparks Canteen Req. M/A:Boston M/A:Dedham, MAS024,2019-04-17, 16:56
DFW," Fort Worth, Texas", 1 Alarm Fire, FWFD2, 6250 Ava Ct Dr," E24 o/s, 1 story house, heavy fire showing from the front, pulling big booster, next co supply", DFW158,2019-04-17, 15:55
TEX," Texas Panhandle Wx, Texas", Thunder Storm Warning,, NWS Amarillo," Severe T-Storm Warning for Hutchinson, Hansford, Roberts, Ochiltree Counties. Located near Spearman.", TEX014,2019-04-17, 15:53
DEL," Talleyville, Delaware", Trauma Alert, Tac 3, Ebright Rd & Naamans rd, Sta 25 units os person fallen with serious injuries at Concord HS trooper 4 to land and transport M/A:New Castle County, DEL013,2019-04-17, 16:52
NYC," Manhattan, New York", Shooting/Stabbing, SOD, Grand St & Jackson St., PD o/s rptg a confirmed male shot. Level 1 Mobilization called in regards., NYC249,2019-04-17, 16:44
NYC," Queens, New York", Major Accident,, Gipson St & Healy Ave, U/D:8 Y/o Male That Was Struck Has Been Pronounced Deceased At The Hospital., NYC249,2019-04-17, 16:36
OKL," Southwest OK Wx, Oklahoma", Thunder Storm Warning,, NWS Norman, Severe T-Storm Warning for Roger Mills & Beckham County. Located 7 miles NE of Twitty., OKL025,2019-04-17, 15:35
TEX," Texas Panhandle Wx, Texas", Thunder Storm Warning,, NWS Amarillo, Severe T-Storm Warning for Hemphill & Lipscomb County. Located over Canadian moving NE., TEX014,2019-04-17, 15:33
NDK," Fargo, North Dakota", 1 Alarm Fire,, 2401 33rd Ave S," W/F Occupied 2nd Floor Apartment now K/D. 2 Sty 35x120 Apartment Bldg,", NDK004,2019-04-17, 15:32
WSC," New Richmond, Wisconsin", 2 Alarm Fire,, 1156 132nd Ave, Units o/s fire in a residential dwelling. 2ALM ordered. Addl tankers requested. [MIN034], FLA027,2019-04-17, 15:30
IND," Stony Creek Twp, Indiana", 1 Alarm Fire, 48 FG 1, 7535 W 10 N, Several FD units o/s worked resd structure fire. M/A:Hamilton County, IND028,2019-04-17, 16:27
TEX," Texas Panhandle Wx, Texas", Thunder Storm Warning,, NWS Amarillo," Severe T-Storm Warning for Gray, Wheeler, Collingsworth Counties. Rpted Golf ball sized hail.", TEX014,2019-04-17, 15:27
TEX," Texas Panhandle Wx, Texas", Thunder Storm Warning,, NWS Amarillo, Severe Thunderstorm Warning for Donley County. Storm located 11 miles SW of Clarendon., TEX014,2019-04-17, 15:25
TEX," Texas Panhandle Wx, Texas", Thunder Storm Warning,, NWS Amarillo, Severe T-Storm Warning for Deaf Smith & Oldham County. Located over Simms., TEX014,2019-04-17, 15:24
RDI," Providence, Rhode Island", Working Fire,, 45 Mink Rd, E12 o/s Auto Fire Extended to a House Req W/F., RDI017,2019-04-17, 16:24
SAN," Fallbrook, California", Major Accident, 3I, 3757 S Mission Rd," Rescue collision with major injuries, med helo requested.", SAN029,2019-04-17, 13:23
NYC," Staten Island, New York", Violent Crime,, New Dorp Lane & Cedar Grove Ave, NYPD & NYSP o/s investigating a deceased body found in Miller Field., NYC249,2019-04-17, 16:23
ONT," Milton, Ontario - Canada", Major Accident,, Hwy 401 EB E of Tremaine Rd," 3 vehicle crash, elderly female with no vital signs. All lanes closed.", CAN000,2019-04-17, 16:23
NMX," Southeast NM Wx, New Mexico", Thunder Storm Warning,, NWS Albuquerque, Severe Thunderstorm Warning for Quay & Curry County. Located 9 miles N of Broadview., NMX014,2019-04-17, 14:22
VIR," Chesterfield, Virginia", 1 Alarm Fire,, 1829 Celia Crescent, FD o/s working fire in a 2 sty single family-lines operating for interior operations., VIR068,2019-04-17, 16:20
FLA," Vero Beach, Florida", Major Accident,, 4th St & 58th Ave," U/D:Corrected Location, 1 Child Transported By Medevac, 3 Injuries By Ground [FLA071]", CON203,2019-04-17, 16:19
TEN," Smyrna, Tennesse", 1 Alarm Fire,, Blue Springs Dr & Infinity Ct, FD reports heavy fire showing from a residence, TEN033,2019-04-17, 15:17
IOW," Central - Des Moines Wx, Iowa", Thunder Storm Warning,, NWS Des Moines," Severe Thunderstorm Warning for Polk, Guthrie, Dallas, Boone Counties. Located near Panora.", IOW010,2019-04-17, 15:16
NJS," Wildwood, New Jersey", 1 Alarm Fire,, 4307 Artic Ave," FD o/s rptg fire in a 2 story frame dwelling, M/A reqd. AHW", NJS005,2019-04-17, 16:11
MCH," Green Oak Twp, Michigan", Brush Fire, 47EMER1, N Rushton Rd & Silver Lake Rd, Chief-8 o/s multi acre brush fire in the woods with access problems. M/A South Lyon., MCH048,2019-04-17, 16:08
ILL," Burr Ridge, Illinois", Working Fire,, German Church Rd & Steepleside Dr," Pleasantview FPD units o/s of a working structure fire, possibly a shed fire.", ILL085,2019-04-17, 15:08
LAX," Los Angeles, California", Technical Rescue,, 24750 W Victory Blvd, Unk Type Tech Rescue. BC17 is IC., LAX005,2019-04-17, 13:07
QUE," Montreal, Quebec - Canada", 1 Alarm Fire,, Ave Freud & Chemin Wallenberg," SIM o/s fire in residential building, heavy smoke on arrival.", QUE005,2019-04-17, 16:07
LAX," Irvine, California", 1 Alarm Fire,, 193 Groveland, T-20 sent for Water Flow Alarm Now Req 1st Alarm for a Fire in 2 Sty Condo Complex. Medic for 1 Pt., LAX110,2019-04-17, 13:05
FLA," Port Saint John, Florida", Major Brush,, Golfview Ave & Flora Vista Place," BCFR (2nd alarm response) & Florida Forestry o/s 200 acre brush fire, aviation for water drops", FLA067,2019-04-17, 16:05
NCA," Mooresville, North Carolina", Hazmat,, 162 Devon Forest Dr, Delayed hazmat units o/s of a drug lab in a dwelling w/2 deceased civilians, NCA099,2019-04-17, 16:05
SAN," San Diego, California", Hazmat,," 2335 Chatsworth Blvd,"," Natural gas leak at a school, some evacs.", SAN029,2019-04-17, 13:04
MAR," Aberdeen, Maryland", Major Accident,, James Ave & Webb St," FD & PD o/s MVC, dump truck vs pole, driver trapped, wires down. James Ave closed b/w Webb & Walker", MAR137,2019-04-17, 15:57
ORE," Cornelius, Oregon", Major Accident,, NW Zion Church Rd & NW Milne Rd, Services o/s of an MVA with a patient in traumatic arrest. CPR in progress., ORE029,2019-04-17, 12:51
CON," South Windsor, Connecticut", Major Accident,, Rte 5 & Governors Hwy, Services o/s Car off the Roadway with Heavy Entrapment., CON026,2019-04-17, 15:49
FLA," Wilton Manors, Florida", Missing Person, FLPD Dist 1, 2901 N Andrews Ave, WMPD searching for a black male juvenile 8y/o LSW red pants and a white shirt., FLA005,2019-04-17, 15:46
MAS," Taunton, Massachusetts", Brush Fire,, Kingman St, ACW Extensive Brush and a Shed. Cos may have fire contained. EMS for standby., MAS041,2019-04-17, 15:40
FLA," Sweetwater, Florida", Trauma Alert, Central, 2101 Nw 110th Ave," R29 o/s PT injured, trauma alert going by ground. Unk MOI.", FLA125,2019-04-17, 15:38
NJY," Passaic, New Jersey", 3 Alarm Fire,, 35 8th St," U/D: CMD pulling members out, Evac tone sounded, Going to defensive operations", NJY005,2019-04-17, 15:34
FLA," West Palm Beach, Florida", Hazmat, 5A, 915 Sunset Rd," BC1 I/C active gas leak from an outdoor residential line, hazmat o/s.", FLA125,2019-04-17, 15:34
